players
ID,Age,Gender,createDateTime,Rewards
0,20,男性,26/08/2022 10:35:11.3791,
1,24,男性,26/08/2022 14:37:37.3766,
2,39,男性,26/08/2022 16:44:12.1983,
3,42,女性,02/09/2022 12:10:13.6536,
4,41,男性,02/09/2022 14:36:20.8406,
5,21,男性,02/09/2022 17:14:57.7381,
6,37,女性,07/09/2022 09:45:31.2749,2380
7,31,男性,07/09/2022 12:09:51.9831,2310
8,42,女性,08/09/2022 09:41:40.3392,1680
9,50,女性,08/09/2022 12:20:36.9405,1900
10,22,男性,08/09/2022 16:46:43.0520,2110
11,23,男性,12/09/2022 09:35:06.9328,1880
12,30,男性,12/09/2022 14:42:00.0970,2310
13,49,女性,22/09/2022 09:49:21.2876,2080
14,39,男性,22/09/2022 12:17:55.9791,2670
15,23,男性,22/09/2022 14:40:59.1538,2500
16,41,女性,27/09/2022 10:44:25.6791,1770
17,21,男性,14/10/2022 09:50:50.9691,1860
18,23,男性,14/10/2022 11:58:28.3583,1790
19,22,女性,14/10/2022 14:43:59.2809,1970
20,51,男性,14/10/2022 17:05:28.1667,1590
21,39,女性,17/10/2022 09:41:39.0725,2050
22,22,男性,17/10/2022 12:07:23.0294,2230
23,24,女性,17/10/2022 14:37:46.1973,1590
24,24,女性,17/10/2022 16:38:48.5316,2300
25,45,女性,20/10/2022 09:45:56.1159,2040
26,24,男性,20/10/2022 12:07:34.8737,2230
27,33,女性,20/10/2022 14:38:58.1819,2630
28,25,男性,20/10/2022 17:08:08.0769,2100
29,23,男性,21/10/2022 09:51:22.6144,2370
30,25,男性,21/10/2022 12:14:43.9894,1410
31,43,女性,21/10/2022 14:42:54.3602,1830
32,24,男性,21/10/2022 16:55:15.9527,2370
33,21,男性,24/10/2022 09:41:25.0736,1900
34,40,男性,24/10/2022 11:43:53.5004,1710
35,23,男性,25/10/2022 09:51:00.4248,1890
36,22,女性,25/10/2022 12:11:21.4433,1890
37,20,男性,25/10/2022 14:48:52.9637,2320
38,23,女性,25/10/2022 17:09:15.7542,1890
39,24,男性,26/10/2022 09:48:49.6957,1610
40,20,男性,26/10/2022 12:14:47.5859,1960
41,36,男性,26/10/2022 14:50:43.0196,2090
42,24,男性,26/10/2022 16:55:06.5164,2060
43,27,男性,28/10/2022 09:47:52.5227,2800
44,24,男性,28/10/2022 12:04:10.8097,2580
45,23,女性,28/10/2022 14:31:06.9078,1820
46,26,男性,28/10/2022 16:45:07.9837,2410
47,25,男性,01/03/2023 14:32:59.8901,2190
48,24,女性,01/03/2023 17:18:58.4705,2170
49,24,女性,02/03/2023 09:47:57.2730,2740
50,23,男性,02/03/2023 12:12:33.9709,2520
51,34,女性,02/03/2023 14:40:05.4098,2530
52,21,男性,02/03/2023 17:13:34.9011,2260
53,23,男性,03/03/2023 09:45:13.8225,2300
54,37,女性,03/03/2023 12:01:06.3032,1980
55,22,男性,03/03/2023 14:44:18.3360,2160
56,24,男性,03/03/2023 17:20:43.4536,2260
57,41,男性,06/03/2023 14:31:00.9835,2400
58,23,男性,06/03/2023 17:04:51.2498,1430
59,28,男性,08/03/2023 15:06:28.3267,2210
60,24,男性,09/03/2023 12:07:11.4029,2170
61,44,女性,10/03/2023 09:39:51.6590,1630
62,24,男性,10/03/2023 12:15:04.8291,1910
63,20,男性,10/03/2023 14:41:33.8753,1440
64,20,男性,10/03/2023 17:21:20.5860,1990
65,38,女性,16/03/2023 09:39:02.7770,2020
66,46,女性,16/03/2023 14:48:16.4628,1960
67,25,男性,16/03/2023 17:14:25.0656,1780
68,33,男性,17/03/2023 09:38:28.8496,2040
69,24,男性,17/03/2023 12:10:25.9614,2010
70,38,女性,17/03/2023 14:45:08.3426,2160
71,28,男性,17/03/2023 17:05:59.4022,1960
